E2F1,E2F1errors,E2F4,E2F4errors
0.062878178,0.017314779,-2.56E-01,0.010343415
-0.07546834,0.017547429,-0.236029902,0.016690608
-0.013049901,0.013677904,-0.199178807,0.014425064
-0.051073636,0.015805384,-0.33962325,0.0099791
-0.007598736,0.009322495,-0.237140217,0.021381574
0.012992948,0.020261767,-2.55E-01,0.017755478
-0.062513545,0.01807766,-0.285142571,0.015162848
-0.041755813,0.017958694,-0.265223119,0.015659898
-0.072692123,0.017114994,-0.282609175,0.014305108
0.021456596,0.013063744,-0.170822527,0.014855323
-0.113952786,0.007337627,-2.55E-01,0.016539421
-0.012039281,0.014737181,-0.24384693,0.010596813
-0.1486557,0.011674517,-0.437416494,0.012289306
-0.0832179,0.015338962,-0.23492847,0.008462721
-0.024932297,0.011083301,-0.249866063,0.02086978
-0.027789607,0.017279785,-0.216107529,0.014752092
0.015095756,0.012847792,-0.205170208,0.007431044
0.043855897,0.01616626,-0.331869625,0.008976389
-0.057537698,0.02021511,-0.233571116,0.015670627
-0.063307935,0.010398699,-0.214192697,0.017238645
-0.027992969,0.019070638,-0.236428461,0.011238365
-0.12803954,0.014976099,-0.241539977,0.011367064
-0.123947624,0.013198215,-0.311849618,0.013966434
0.097124176,0.014654373,-0.21950517,0.008331395
0.039188111,0.013658372,-0.269529286,0.009820564
-0.020017861,0.008365177,-0.375301972,0.010013342
-0.019902755,0.011790203,-0.211441767,0.010363814
-0.194827768,0.01298631,-0.262977579,0.017951632
-0.017730868,0.01013676,-0.312507042,0.019534682
0.066121877,0.018450308,-0.177603176,0.010793972
-0.104374262,0.011626667,-0.289371082,0.009401124
0.012357837,0.012563611,-0.181163465,0.020091931
-0.21257726,0.019070644,-0.305544983,0.006228064
-0.065859291,0.013952543,-0.316865003,0.012139614
0.041018338,0.009858267,-0.19697316,0.010095117
0.019649755,0.015120695,-0.167105723,0.012856743
-0.117791989,0.007599218,-0.297969904,0.012966487
-0.081606339,0.017082451,-0.221320134,0.013866619
0.039907161,0.009901457,-0.294802874,0.013889888
-0.03989323,0.023717611,-0.245232107,0.017296362
-0.023740463,0.013601765,-0.214778537,0.010911377
-0.087110795,0.010285747,-0.327540887,0.008882249
-0.00612754,0.010825263,-0.207710949,0.013022581
-0.11127086,0.017968545,-0.253676569,0.01930049
-0.102610379,0.013949682,-0.194088258,0.010318786
-0.143771365,0.013317677,-0.264994454,0.005886234
0.080848125,0.01306858,-0.342236327,0.011115653
-0.035271654,0.02184672,-0.303007047,0.012157241
0.070393118,0.013999277,-0.20503873,0.013925724
-0.065306106,0.014807303,-0.210523701,0.008147724
-0.02339397,0.012647365,-0.265151248,0.014467296
-0.049750857,0.012499643,-0.319639721,0.009944354
0.090368887,0.012972297,-0.212611655,0.012526575
-0.009639438,0.023122833,-0.299550751,0.009123698
-0.083627827,0.01420934,-0.225212346,0.011045276
-0.110844972,0.016317828,-0.297445478,0.012200762
-0.122779894,0.025629184,-0.281115392,0.016503161
0.092078411,0.009155327,-0.264950717,0.008597073
-0.038779196,0.018072028,-0.244992444,0.009395739
0.008935482,0.013363022,-0.233258764,0.011940213
0.016582721,0.014589996,-0.154058557,0.013965845
-0.059608127,0.014513674,-0.182918845,0.011264828
-0.136977395,0.011953389,-0.301246785,0.012838363
0.001912374,0.014026507,-0.283389066,0.01070894
0.051316366,0.018275602,-0.269755101,0.012557089
