E2F1,E2F1errors,E2F4,E2F4errors
0.462191149,0.011883761,-0.170847321,0.033382262
-0.014649445,0.015867917,-0.38241588,0.027909181
-0.532723124,0.023411003,-0.392650557,0.03199918
0.302564534,0.017040895,0.217692364,0.020390017
0.179899215,0.013539766,0.460528369,0.024294013
-0.109735047,0.016831931,-0.240760717,0.032539051
-0.00191568,0.015512269,0.273354804,0.020790491
0.203443856,0.014702855,0.032464041,0.02722313
-0.156701948,0.025153884,-0.161903831,0.02379641
-0.791082576,0.024350774,-0.608365697,0.030517616
0.045856929,0.017092595,-0.156279685,0.031744576
0.408383343,0.010970946,0.758441466,0.017694612
0.271933484,0.014257386,-0.090641787,0.023412028
0.015506634,0.01343734,0.070596132,0.02656895
0.032207585,0.014227449,0.100063247,0.023623367
-0.50308844,0.021502103,-0.22826702,0.034465429
0.390465402,0.019393201,-0.039238062,0.018383841
0.506076589,0.019894435,0.203893562,0.019175393
-0.370940749,0.020540081,-0.099926588,0.028482289
-0.401435713,0.019316802,-0.351083538,0.031597278
0.201391052,0.012784641,0.150270861,0.023393737
0.283703563,0.016159367,0.115741643,0.020298661
-0.297561111,0.017404988,-0.213193961,0.030867991
-0.348549578,0.017309787,-0.395183472,0.0287014
0.297498306,0.020172391,0.395790087,0.022283083
0.136522363,0.019618379,0.040419923,0.027489813
-0.279990871,0.020982904,-0.075570857,0.023353323
-0.247826444,0.019413455,-0.123900719,0.025094189
0.326386132,0.011860241,0.062205949,0.024294581
0.012723487,0.018252578,-2.48E-02,0.025013615
-0.20266068,0.015482599,-0.051696147,0.025076908
-0.117195911,0.019845739,-0.089422666,0.016976247
0.242224284,0.017268521,0.069063984,0.029670213
0.11701427,0.015780799,-0.047230897,0.020862186
-0.203749963,0.018946146,-0.017462737,0.030134704
-0.07507299,0.014092415,-0.017756339,0.022105913
0.096899863,0.018578043,-0.01439573,0.022951557
0.106856853,0.017714343,0.057534144,0.01927814
-0.136637689,0.024550463,-0.106044188,0.026980125
-0.083447242,0.015157898,-0.01306995,0.031590707
0.048319258,0.014505509,-0.035265708,0.023917139
0.116122198,0.013724541,0.050286877,0.024973955
-0.12602873,0.016188353,0.005004714,0.029094279
-0.055183347,0.021408304,-0.031511462,0.026236787
0.00018106,0.018516548,-0.120625832,0.026267264
0.078869349,0.01876383,-0.046358697,0.017267015
-0.141663361,0.014290716,0.017707282,0.027178245
0.004410087,0.017076348,-0.017076337,0.029040405
-0.006524895,0.01971764,-0.051117951,0.026602491
0.152851156,0.015999499,0.065667898,0.022662091
-0.121379238,0.019040231,-0.0751496,0.024722506
-0.118293047,0.017400891,-0.046814647,0.031472671
0.021912309,0.015194029,-0.040549354,0.022123663
0.148177696,0.014895666,0.105842697,0.019777772
-0.20536744,0.020062648,-0.055458272,0.029212928
-0.042831347,0.017213227,-0.150825863,0.02785415
0.03511227,0.020580922,0.003595734,0.020781857
0.077558632,0.009646429,0.051804076,0.017043976
-0.187503132,0.021727216,-0.097759601,0.021766596
-0.068361377,0.021512747,-0.061923059,0.029906087
0.113397057,0.016267905,0.011032881,0.031701432
0.214754476,0.01742207,0.1956479,0.020519324
-0.253028952,0.015647385,-0.165837963,0.030022577
0.050685831,0.013754511,-0.136390935,0.030664195
-0.077320175,0.021482836,0.009735295,0.023794939
0.206774843,0.016536437,0.177453379,0.023945854
-0.264527709,0.019397421,-0.22117975,0.028102345
0.04262272,0.015948901,-0.020775927,0.025907133
-0.049778674,0.016278413,-0.032343405,0.027407482
