E2F1,E2F1errors,E2F4,E2F4errors
-0.412228945,0.011952885,-0.448447845,0.016105028
-0.069078963,0.01029288,-0.210962225,0.019288471
-0.172274171,0.009103847,-0.224060684,0.017328242
-0.036410051,0.014871883,-0.166986698,0.02628161
-0.311061274,0.022930464,-0.355357116,0.01794521
-0.026581115,0.022383498,-0.253424024,0.035855286
-0.214220142,0.005624458,-0.325085973,0.022221143
-0.139132083,0.021938895,-0.257198746,0.021276832
-0.039620586,0.023116249,-0.12186435,0.019753993
0.005161128,0.022366708,-0.093066041,0.01857184
-0.200903395,0.016745075,-0.255608006,0.019536588
-0.121068809,0.022487131,-0.290594971,0.020916491
-0.098256464,0.016711066,-0.246726723,0.031929327
-0.126439809,0.016931994,-0.18495965,0.024481503
-0.15158436,0.0155972,-0.262078686,0.021970569
-0.139913586,0.016889668,-0.23939971,0.019454455
-0.092083565,0.020020469,-0.147988386,0.026043989
-0.285805842,0.020057179,-0.208979048,0.029591477
-0.157022029,0.018612745,-0.088971231,0.027954523
-0.16578307,0.019989749,-0.20239489,0.024361314
-0.109826124,0.020221568,-0.251364946,0.033475618
-0.12841459,0.027388702,-0.364827301,0.027272912
0.054051035,0.016605216,-0.078388351,0.014926785
-0.075661912,0.01389102,-0.2806792,0.015736033
-0.097246118,0.015906622,-0.101327892,0.029005185
-0.120368738,0.016732423,-0.283542166,0.025476493
-0.132387648,0.017078828,-0.117192339,0.016428626
-0.211303745,0.02449578,-0.069444935,0.02951593
-0.229749432,0.0261253,-0.108360152,0.018341025
-0.174272193,0.023784079,-0.185972967,0.020290941
-0.249895582,0.021442042,-0.263923041,0.024912773
-0.170786075,0.014360264,-0.298492486,0.016360472
-0.049111746,0.014807264,-0.040429683,0.020995661
-0.108524083,0.019847274,-0.383208375,0.018572923
-0.144279415,0.014281837,-0.348649219,0.032681819
-0.158162628,0.019604819,-0.204264906,0.025663617
-0.178155376,0.023150737,-0.180865517,0.02388574
-0.215753844,0.026215058,-0.231223332,0.025040145
-0.070252029,0.014057205,-0.220167196,0.019531489
-0.233361956,0.016249851,-0.153136758,0.031516971
-0.297719597,0.013945022,-0.26407806,0.017187215
-0.154678792,0.021839941,-0.16451035,0.012267548
-0.183251149,0.01011577,-0.337452185,0.0406611
-0.163757155,0.028409414,-0.258178811,0.022368308
-0.145936634,0.022328783,-0.453647941,0.026663367
-0.085878012,0.01494841,-0.363478008,0.023341555
0.203962702,0.028830543,0.10635455,0.023980751
-0.155790629,0.015162221,-0.2732751,0.016728689
-0.138845061,0.014609609,-0.250195889,0.023582372
-0.03052536,0.0218642,0.038558168,0.035167217
-0.207842868,0.022031958,-0.20896433,0.018535199
-0.143217863,0.018692875,-0.203793037,0.021105395
-0.072075516,0.018120436,-0.200201511,0.024521578
-0.159374399,0.016324488,-0.031058039,0.021770101
-0.258697407,0.023276602,-0.252309549,0.014317021
-0.005185452,0.022550477,-0.155492458,0.02532205
-0.127089584,0.012925956,-0.329074134,0.029275097
-0.265170965,0.020838684,-0.300794796,0.037087778
-0.097177779,0.019415668,-0.168547253,0.026539673
-0.184667999,0.016834214,-0.276779584,0.01857607
-0.165190961,0.028332781,-0.149584393,0.026307021
-0.21528892,0.012855238,-0.264675738,0.024761105
-0.095198479,0.016373774,-0.157791931,0.021783922
-0.079634037,0.025296224,-0.307532706,0.020242105
-0.050505022,0.016120001,-0.172366813,0.037188331
-0.121711603,0.009809616,-0.217240933,0.025863542
-0.122584103,0.018248927,-0.263022788,0.018768808
-0.145046079,0.0184297,-0.187997821,0.017731763
